Episode,Reward,Length,TD_Error
134,-794.0,200,188.39405661113392
135,-794.0,200,246.509043921
136,-731.0,200,174.91831642862334
137,-794.0,200,236.52402056171434
138,-866.0,200,277.83130012302024
139,-776.0,200,205.56071713887718
140,-758.0,200,227.443964267
141,-668.0,200,138.46212753688934
142,-659.0,200,74.1875945941182
143,-668.0,200,159.3239323197327
144,-722.0,200,140.24447745600003
145,-884.0,200,251.96077200000002
146,-983.0,200,261.2668944517426
147,-785.0,200,357.369406
148,-902.0,200,214.88072789950195
149,-875.0,200,147.44404933358356
150,-677.0,200,230.32740178277578
151,-821.0,200,197.41163545931687
152,-785.0,200,133.35017643255986
153,-794.0,200,224.61431667088274
154,-785.0,200,179.602115
155,-848.0,200,169.18598060242942
156,-830.0,200,247.87011069248868
157,-866.0,200,257.1403157122718
158,-727.0,163,82.14037252374555
159,-821.0,200,170.656049564132
160,-740.0,200,169.39835449
161,-776.0,200,178.30910806566158
162,-740.0,200,86.64367207000001
163,-866.0,200,230.4610467979134
164,-731.0,200,139.603
165,-758.0,200,145.53523327294556
166,-830.0,200,159.27941250139773
167,-794.0,200,105.25820119265393
168,-731.0,200,144.06264821747845
169,-848.0,200,142.39397738396275
170,-516.0,123,73.07774787801924
171,-740.0,200,136.514440641734
172,-650.0,200,165.87713893234002
173,-704.0,200,149.88309418665324
174,-749.0,200,137.7749536599
175,-803.0,200,126.96156479512916
176,-713.0,200,286.0989074072142
177,-767.0,200,305.79815328202653
178,-758.0,200,240.08404124025998
179,-731.0,200,169.78840000000002
180,-767.0,200,335.9043591800001
181,-866.0,200,217.70643123052258
182,-686.0,200,127.47802435157783
183,-785.0,200,166.06831915167032
184,-830.0,200,140.31981983657715
185,-722.0,200,163.45549993353066
186,-713.0,200,123.87205248546974
187,-740.0,200,203.77341336738442
188,-90.0,48,54.74581338200795
189,-695.0,200,103.76779357537731
190,-839.0,200,204.45337926951353
191,-776.0,200,122.5827395637445
192,-812.0,200,130.9216677172456
193,-965.0,200,332.7048701120584
194,-758.0,200,150.7929434108
195,-830.0,200,139.83417211919254
196,-695.0,200,124.63795666397635
197,-668.0,200,91.68778814791642
198,-857.0,200,216.5721525627925
199,-785.0,200,186.72508425983
200,-812.0,200,125.18680826995916
201,-821.0,200,150.94911862974794
202,-830.0,200,253.90750904887528
203,-749.0,200,263.26334822733565
204,-749.0,200,144.67591107384237
205,-794.0,200,126.337438654165
206,-695.0,200,247.8721782078327
207,-479.0,158,167.35128131500002
208,-857.0,200,236.96778440000003
209,-830.0,200,201.76105740638553
210,-749.0,200,204.61337341253366
211,-740.0,200,141.7856560001
212,-776.0,200,106.30082802761967
213,-641.0,200,94.52037221812878
214,-722.0,200,132.3670198513912
215,-866.0,200,187.8949600334983
216,-776.0,200,125.24751947784057
217,-830.0,200,160.38347638823018
218,-632.0,200,78.45017428839577
219,-803.0,200,131.7667864723399
220,-776.0,200,96.11409425562812
221,-884.0,200,149.77758097319162
222,-893.0,200,258.7224758917537
223,-632.0,200,97.77100193801311
224,-758.0,200,150.79005240900307
225,-433.0,130,94.52334716465464
226,-677.0,200,175.0555672652853
227,-740.0,200,144.4605288260948
228,-875.0,200,211.61689012029132
229,-839.0,200,194.2763212198064
230,-677.0,200,88.72809914025
231,-767.0,200,139.35286038824935
232,-731.0,200,108.038840923088
233,-428.0,125,45.117968219812724
234,-893.0,200,193.8401631226942
235,-866.0,200,210.08952102780097
236,-983.0,200,201.84857716075607
237,-875.0,200,228.85383696375166
238,-713.0,200,150.53020648505324
239,-740.0,200,142.51851926341965
240,-812.0,200,159.11359626991464
241,-866.0,200,178.68217604498068
242,-704.0,200,186.22980652246144
243,-839.0,200,257.5037787874
244,-749.0,200,161.63269499650016
